physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
216,4,code,Stage16,repair,STAGE 16.5C REPAIR — GIT-IGNORE-AWARE FREEZE VERIFICATION | The original Stage 16.5C audit completed all scientific work | and created its package/lock/checksums. | Final assertion failed ONLY because:,,,,1,1115,1672aefb859f07f3bdb73ef0d1a6d69f280391c02233862af63988bcb94208c5,Physical 1-based order is canonical; execution_count is historical evidence only.
217,5,code,Stage16,packaging,STAGE 16.5C — GIT ANCHOR FINAL CLASSICAL STRATEGY FREEZE | Purpose: | Permanently Git-anchor the already-audited Stage 16.5C | final classical strategy and complete Stage 16.5.,,,,3,1885,d58de4d7bd6c2e92ff3d8b3cecd266e25a06471b2246d0969c677c738456dd1d,Physical 1-based order is canonical; execution_count is historical evidence only.
218,6,code,Stage16,canonical,STAGE 16.6A — ONE-TIME CLASSICAL HOLDOUT AUTHORIZATION LOCK | Purpose: | Create the immutable authorization contract that defines | EXACTLY what may happen when the duplicate-safe holdout is,,,,1,1817,258c0075c6e3b3adf189a2a06d6adca3d83c941cccb523d58fcced3a0a355130,Physical 1-based order is canonical; execution_count is historical evidence only.
219,7,code,Stage16,packaging,STAGE 16.6A — GIT ANCHOR ONE-TIME HOLDOUT AUTHORIZATION | Purpose: | Commit and push ONLY the Stage 16.6A authorization lock | and SHA sidecar.,,,,3,1407,fcdb04450b8304305ce0dc4846abc53e2a7fdb4bb7b38d883303992f49e4270c,Physical 1-based order is canonical; execution_count is historical evidence only.
220,8,code,Stage16,canonical,STAGE 16.6B — ONE-TIME CLASSICAL HOLDOUT EVALUATION | THIS IS THE AUTHORIZED HOLDOUT OPENING. | Git-anchored authorization: | commit:,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; Source dataset unavailable:\n{DATASET_PATH},Stage 16.6B output directory already exists:\n; {OUTPUT_ROOT}\n\n,,3,2637,cb3e99d3032697e94e47447214429cd29ad3ed7b69d658ac3ebccfb8b72e9cb8,Physical 1-based order is canonical; execution_count is historical evidence only.
221,9,code,Stage16,canonical,"STAGE 16.6C — AUDIT, PACKAGE, AND FREEZE ONE-TIME HOLDOUT | Purpose: | 1. Audit the already-completed Stage 16.6B one-time | classical holdout evaluation.",,Stage 16.6C destination already exists:\n,,1,3775,6e6903d06bc035c2f15f0e0d4e3afe7cb319a55e1bfc8ba59cfa0b29daa64ef0,Physical 1-based order is canonical; execution_count is historical evidence only.
222,10,code,Stage16,packaging,STAGE 16.6C — GIT ANCHOR | Purpose: | - verify the exact Stage 16.6C freeze created previously | - stage exactly the 14 approved freeze artifacts,,Remote/authentication output was,,3,1190,4610164d33c5df4bd386ec9247d8b9563cd95b75bcd125ed7be1b1296e77e9c2,Physical 1-based order is canonical; execution_count is historical evidence only.
223,11,code,Stage17,packaging,STAGE 17.0 — TRANSFORMER ATTENTION EXPLAINABILITY PROTOCOL LOCK | Purpose: | Freeze the complete attention-analysis methodology BEFORE | extracting any attention weights from the archived,,,,1,2232,281d9b964567d3f5fcf77709ca3e8afc427a52c739e0652cd35b0ccf80a7ecb3,Physical 1-based order is canonical; execution_count is historical evidence only.
224,12,code,Stage17,packaging,STAGE 17.0 — GIT ANCHOR ATTENTION EXPLAINABILITY PROTOCOL | Scientific work performed: | - Transformer inference: NO | - attention extraction: NO,,,,3,866,31dc3520014ff5f8ae3e6ffa70d5e8440514336d1fbdf38ee9f95cbab34488f9,Physical 1-based order is canonical; execution_count is historical evidence only.
225,13,code,Stage17,canonical,STAGE 17.1 — DETERMINISTIC VALIDATION CASE SELECTION | + FIVE-CHECKPOINT ATTENTION EXTRACTION | Git-anchored protocol: | parent commit:,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; stage17_1_selected_validation_inputs.npz; \nLoading the selected 64 VALIDATION rows only...,Stage 17.1 output directory already exists:\n; {OUTPUT_ROOT}\n\n; \nArchived-inference identity verification,,4,3883,905ba2bc239bb681bc5fdf0dd43f593f3d50c628226adfe324453dcda4322274,Physical 1-based order is canonical; execution_count is historical evidence only.
226,14,code,Stage17,repair,"STAGE 17.1R — CPU RECOVERY OF ATTENTION EXTRACTION | Repair reason: | CUDA was visible, but the installed PyTorch/CUDA build | lacked a kernel image compatible with the assigned GPU:",stage17_1_selected_validation_inputs.npz,\nArchived-inference identity verification,,2,3163,56faefe495d7ead2e20ae4efc5a84281b8ee4f606c4dac817e268a8dd3bf165a,Physical 1-based order is canonical; execution_count is historical evidence only.
227,15,code,Stage17,recovery,STAGE 17.1R2 — CONTINUE CPU ATTENTION EXTRACTION | WITHOUT RERUNNING SEED 7 | Context: | Original GPU Stage 17.1:,stage17_1_selected_validation_inputs.npz,,,1,3236,dc73db75bb6093c3a1ae3508608218d46e1c7acef41b6232dfcd5b9c99d635d7,Physical 1-based order is canonical; execution_count is historical evidence only.
228,16,code,Stage17,canonical,STAGE 17.1A — AUDIT AND FREEZE ATTENTION EXTRACTION EVIDENCE | Purpose: | Audit the already-completed Stage 17.1 extraction BEFORE | any scientific attention ranking or interpretation.,stage17_1_selected_validation_inputs.npz,Stage 17.1A destination already exists:\n,,1,2590,dfeac9fd16886d72ae1a3353666065bee69ffdf5725e9f60be41d7bef6c89936,Physical 1-based order is canonical; execution_count is historical evidence only.
229,17,code,Stage17,packaging,STAGE 17.1A — GIT ANCHOR ATTENTION EXTRACTION FREEZE | Purpose: | Permanently anchor the already-audited Stage 17.1 | extraction evidence BEFORE any Stage 17.2 scientific,stage17_1_selected_validation_inputs.npz,,,3,1460,2f08e34e707714c91139165791859de03f97a2fdd0d8e1592421516d8db5a2a1,Physical 1-based order is canonical; execution_count is historical evidence only.
230,18,code,Stage17,canonical,STAGE 17.2 — FROZEN TRANSFORMER ATTENTION ANALYSIS | Scientific analyses: | 1. Five-seed consensus rollout feature ranking | 2. TP / TN / FP / FN attention profiles,,Stage 17.2 output directory already exists:\n; {OUTPUT_ROOT}\n\n,,1,3729,4e914b6f7bb302fc6770137d85705d3d850b9173b91fbf32553d985202d6469c,Physical 1-based order is canonical; execution_count is historical evidence only.
231,19,code,Stage17,canonical,STAGE 17.2A — AUDIT AND FREEZE ATTENTION ANALYSIS RESULTS | Purpose: | Audit and package the already-completed Stage 17.2 | scientific attention analysis BEFORE inspecting,,,figures/stage17_2_global_rollout_top20.png; figures/stage17_2_confusion_state_rollout_top20_heatmap.png; figures/stage17_2_true_attack_vs_benign_top20.png; figures/stage17_2_layer_head_entropy_heatmap.png; figures/stage17_2_within_layer_head_similarity_heatmaps.png; figures/stage17_2_cross_seed_rollout_spearman.png; figures/stage17_2_cross_seed_rollout_top10_jaccard.png; figures/stage17_2_layerwise_cls_feature_attention_top20.png,1,2148,8edcebf2d7a160197b95c5435e401c924093992b39dc25b9017ff5088acdc28e,Physical 1-based order is canonical; execution_count is historical evidence only.
232,20,code,Stage17,packaging,STAGE 17.2A — GIT ANCHOR ATTENTION ANALYSIS FREEZE | Exact frozen boundary: | 24 copied Stage 17.2 scientific-analysis artifacts | + 1 repository package manifest,,,figures/stage17_2_global_rollout_top20.png; figures/stage17_2_confusion_state_rollout_top20_heatmap.png; figures/stage17_2_true_attack_vs_benign_top20.png; figures/stage17_2_layer_head_entropy_heatmap.png; figures/stage17_2_within_layer_head_similarity_heatmaps.png; figures/stage17_2_cross_seed_rollout_spearman.png; figures/stage17_2_cross_seed_rollout_top10_jaccard.png; figures/stage17_2_layerwise_cls_feature_attention_top20.png,3,1482,f16fe599e637e3181246f953ac2143a700f28e442a491b8e0005788149ef9f09,Physical 1-based order is canonical; execution_count is historical evidence only.
233,21,code,Stage17,canonical,STAGE 17.3A — CROSS-METHOD XAI SOURCE + PROTOCOL LOCK | Purpose: | Resolve and freeze the exact already-committed source | artifacts that will be used for:,stage17_3a_cross_method_source_protocol_lock.json; stage17_3a_cross_method_source_protocol_lock.sha256; Git-anchor this Stage 17.3A source/protocol; {SOURCE_LOCK_PATH.name}\n; \nFrozen source identities; Stage 17.3A source/protocol SHA-256:; until this source/protocol lock is Git-anchored.,,,1,1856,f31cd9193637f66c849b12c8c58191d3c4a4e75c05a5a6791873d9059be84480,Physical 1-based order is canonical; execution_count is historical evidence only.
234,22,code,Stage17,packaging,STAGE 17.3A — GIT ANCHOR CROSS-METHOD SOURCE/PROTOCOL LOCK | Exact boundary: | 1. stage17_3a_cross_method_source_protocol_lock.json | 2. stage17_3a_cross_method_source_protocol_lock.sha256,stage17_3a_cross_method_source_protocol_lock.json; stage17_3a_cross_method_source_protocol_lock.sha256; STAGE 17.3A — GIT ANCHOR CROSS-METHOD SOURCE/PROTOCOL LOCK,,,3,1013,3c6274cd3729112140c50cc76393ad5f4fb68fd9ec2b7e9d5e6559ba8a5e6766,Physical 1-based order is canonical; execution_count is historical evidence only.
235,23,code,Stage17,canonical,STAGE 17.3B — FROZEN CROSS-METHOD XAI AGREEMENT ANALYSIS | Locked comparisons: | 1. Attention vs XGBoost TreeSHAP | 2. Attention vs LightGBM TreeSHAP,stage17_3a_cross_method_source_protocol_lock.json,Stage 17.3B output directory already exists:\n; {OUTPUT_ROOT}\n\n,,1,2369,de0b1dc882c62e7497a9d1831a08d3181316b688b35d5ac8c21a312e52f6a006,Physical 1-based order is canonical; execution_count is historical evidence only.
236,24,code,Stage17,canonical,STAGE 17.3C — AUDIT AND FREEZE CROSS-METHOD AGREEMENT RESULTS | Purpose: | Audit and freeze the already-computed Stage 17.3B | Attention / TreeSHAP / Integrated-Gradients agreement,stage17_3a_cross_method_source_protocol_lock.json,,figures/stage17_3b_attention_shap_ig_shared70_heatmap.png,1,2144,bf868ac8f489edc66b00e8500a17dcb5aa00ad2ef9d16f7d17c407ace195a13b,Physical 1-based order is canonical; execution_count is historical evidence only.
237,25,code,Stage17,packaging,STAGE 17.3C — GIT ANCHOR CROSS-METHOD AGREEMENT FREEZE | Exact repository boundary: | 6 copied Stage 17.3B evidence artifacts | 1 repository package manifest,,,figures/stage17_3b_attention_shap_ig_shared70_heatmap.png,3,1476,45e7ca728c5322be32baf508269f6378c214e2f00b8488ed632d31c305730b12,Physical 1-based order is canonical; execution_count is historical evidence only.
238,26,code,Stage17,canonical,STAGE 17 FINAL — SCIENTIFIC CLOSURE LOCK | Purpose: | Formally close Stage 17 Attention Explainability using | ONLY evidence already frozen and Git-anchored in:,stage17_3a_cross_method_source_protocol_lock.json,,,1,1665,20faa402c716531ab7fecd5df26b45383b672c18e528b88e2392d7466ec1a8f7,Physical 1-based order is canonical; execution_count is historical evidence only.
239,27,code,Stage17,packaging,STAGE 17 FINAL — GIT ANCHOR SCIENTIFIC CLOSURE | Exact repository boundary: | 1. stage17_final_scientific_closure.json | 2. STAGE17_ATTENTION_EXPLAINABILITY_CLOSURE.md,,,,3,1286,7def1e249b7a65f5f281e4ef8fcc25f9c0573f0a769ebafc06e2a30b3d62e1fd,Physical 1-based order is canonical; execution_count is historical evidence only.
240,28,code,Stage18,canonical,STAGE 18.0 — REPRESENTATION-FEASIBILITY PROTOCOL LOCK | Purpose: | Precommit the scientific rules that determine whether the | current IDS2018 evidence can legitimately support:,,Are source/destination entity identifiers recoverable?,,1,1562,d24cd8bcc758ab223d9f0e181f65622a01627cbd0e1a89a1a3808d26d83205a0,Physical 1-based order is canonical; execution_count is historical evidence only.
241,29,code,Stage18,packaging,STAGE 18.0 — GIT ANCHOR REPRESENTATION-FEASIBILITY PROTOCOL | Exact boundary: | 1. stage18_0_representation_feasibility_protocol.json | 2. STAGE18_0_REPRESENTATION_FEASIBILITY_PROTOCOL.md,,,,3,1168,5c8e45bf0a144ed0924e6c0bb4854d0d29d2f7fdf61536b35c06360ba3257419,Physical 1-based order is canonical; execution_count is historical evidence only.
242,30,code,Stage18,canonical,STAGE 18.1A — TEMPORAL METADATA & PROVENANCE AUDIT | Purpose: | Determine what authentic temporal/network-identity | information survives in the available IDS2018 artifacts.,/kaggle/input/ids2018-balanced-binary-dataset/; /kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; /kaggle/input; \nBalanced dataset; Source/capture provenance fields:; \nRelevant IDS2018 source inventory,{OUTPUT_ROOT}\n\n,,1,2033,75c54cd6e30b06ed58e41fe2dd810b3034db687eb84bfceb00eff5967fe47de7,Physical 1-based order is canonical; execution_count is historical evidence only.
243,31,code,Stage18,recovery,STAGE 18.1A — AUDIT + FREEZE TEMPORAL METADATA EVIDENCE | Purpose: | Permanently freeze what the CURRENT balanced artifact | and currently discovered IDS2018 sources actually contain,"original capture order, Flow ID, or source/; Source/capture provenance fields:",,,1,1648,d2a19b99320fcf17eeb8a475c30ef941f22931d123651a84aad55ffcecc279d0,Physical 1-based order is canonical; execution_count is historical evidence only.
244,32,code,Stage18,canonical,STAGE 18.1B — ORIGINAL IDS2018 SOURCE SCHEMA DISCOVERY | Goal: | Rescan original/raw CSE-CIC-IDS2018 source files and | determine whether authentic temporal/session metadata,/kaggle/input; \nSTAGE 18.1B RAW SOURCE SCHEMA DISCOVERY COMPLETE,,,1,789,05e5a383b89a4ff5a893c7ea39d4cda49e60f24018920087c7cb2341645b7eb4,Physical 1-based order is canonical; execution_count is historical evidence only.
245,33,code,Stage18,repair,STAGE 18.1B — ORIGINAL IDS2018 KAGGLE SOURCE DISCOVERY | REPAIR VERSION | READ-ONLY. | This cell:,\nNOTE: Dataset discovery will continue because; /kaggle/input; \nTotal CSV/CSV.GZ files under /kaggle/input:; \nSTAGE 18.1B ORIGINAL KAGGLE SOURCE DISCOVERY COMPLETE,,,1,780,8d9917eed45a5328432f423889de60fee1f3bd3c9451f555c7f3b4966c0a119f,Physical 1-based order is canonical; execution_count is historical evidence only.
246,34,code,Stage18,superseded,CELL 38 — REMOVE ABANDONED STAGE 18.1A FREEZE ARTIFACTS | We decided NOT to freeze/push Stage 18.1A yet because | original IDS2018 source files contain richer temporal | metadata and must be audited first.,,,results/stage18_representation_feasibility_checkpoint/,1,309,5d5a43c2b44edadc38e09ba148d5e28727ba1b132b034d346f66e55384218029,Physical 1-based order is canonical; execution_count is historical evidence only.
247,35,code,Stage18,canonical,STAGE 18.1B — RAW TIMESTAMP CHRONOLOGY / INTEGRITY AUDIT | Establish whether the Timestamp metadata in the original | CSE-CIC-IDS2018 dated CSVs is sufficiently authentic and | internally consistent to support a later temporal,/kaggle/input/datasets/solarmainframe/; Missing expected raw source:\n{path},{OUTPUT_ROOT}\n\n,,5,2000,bde94870480461836f17f3cd1098fc8f7565f6e0394e01af5a15ad7addfb2938,Physical 1-based order is canonical; execution_count is historical evidence only.
248,36,code,Stage18,canonical,STAGE 18.1C — TIMESTAMP RESOLUTION & SNAPSHOT FEASIBILITY | Determine whether the authentic raw timestamps support | a defensible temporal-bin / traffic-snapshot representation. | Key questions:,/kaggle/input/datasets/solarmainframe/; raw source flows and training/validation-safe,,,5,1671,10f5535ae4ab41a79331bda06299380786d51d67126d4299adbdea745fb7867c,Physical 1-based order is canonical; execution_count is historical evidence only.
249,37,code,Stage18,canonical,STAGE 18.1D — BALANCED DATASET CONSTRUCTION PROVENANCE AUDIT | Recover HOW merged_balanced_ids2018_safe.csv was constructed. | We are looking for: | - original raw files used,/kaggle/input/datasets/; \n; \nSTAGE 18.1D DATASET CONSTRUCTION PROVENANCE AUDIT COMPLETE,,metadata/text/config,1,783,b168cd866ab3acd7bb0aae0e8e39373631bf3cb3e8c16bbd8bdce5307a9977e0,Physical 1-based order is canonical; execution_count is historical evidence only.
250,38,code,Stage18,canonical,STAGE 18.1E — RAW ↔ FROZEN-70 FEATURE SCHEMA BRIDGE AUDIT | Determine whether the exact 70 features used by the frozen | duplicate-safe Stage 15/17 experiment are available in the | original dated CSE-CIC-IDS2018 CSV files.,/kaggle/input/datasets/solarmainframe/; \nFeatures missing from at least one raw source:,,,1,1350,045b6ed2b6fb13367df415a760c88572a5c226f81776748a8cea8804ac05a8e5,Physical 1-based order is canonical; execution_count is historical evidence only.
251,39,code,Stage18,canonical,STAGE 18.1F — SAFE TRAIN/VALIDATION ARTIFACT DISCOVERY | Identify exactly which frozen Stage 15 duplicate-safe | artifacts can provide TRAIN and VALIDATION membership or | feature rows without accessing the closed holdout.,,\nExact split archive SHA not found among; \nArchive member names,results/stage15_transformer_checkpoint,1,802,da710e5211d9d1313b8d01cc9c3f415ef2ddac560c993ea579e6b2fda2ed02c9,Physical 1-based order is canonical; execution_count is historical evidence only.
252,40,code,Stage18,packaging,STAGE 18.1G — NON-HOLDOUT SPLIT + FINGERPRINT PROVENANCE | Establish: | 1. exact duplicate-safe TRAIN membership | 2. exact duplicate-safe VALIDATION membership,,\nArchive member inventory,results/stage15_transformer_checkpoint,1,1295,cc93c83a322bb7770a4a6e0d8e913424e0c789f262fb400f71c4249bdaf1dc5d,Physical 1-based order is canonical; execution_count is historical evidence only.
253,41,code,Stage18,recovery,STAGE 18.1H — EXACT FROZEN HASH-RULE RECOVERY | Recover the exact Stage-15 code that produced: | train_feature_hashes.npy | validation_feature_hashes.npy,\nNo matching Stage-15 Python source contexts found.,,results/stage15_transformer_checkpoint,1,640,1cfb66297f855497af093ca7aaee91d9dd1439fb83e5c77f03d31c143fae9881,Physical 1-based order is canonical; execution_count is historical evidence only.
254,42,code,Stage18,recovery,STAGE 18.1I — EXACT FROZEN HASH-RULE EMPIRICAL RECOVERY | Recover which exact pandas row-hash construction produced | the frozen Stage-15 train/validation feature hashes. | AUTHORIZED DATA:,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/,,,1,1693,1d21f97d34576ed75d223afa78fda370d9cd5c64c13f01a86144f3a018a4a153,Physical 1-based order is canonical; execution_count is historical evidence only.
255,43,code,Stage18,canonical,STAGE 18.1J — RAW HASH COMPATIBILITY PILOT | 1. Verify exact 78-feature schema bridge across all 10 raw | timestamped IDS2018 files. | 2. On ONE precommitted source file only:,/kaggle/input/datasets/solarmainframe/; /kaggle/input/datasets/; ids2018-balanced-binary-dataset/,,,1,1831,85ed4c9bb63bde0822051ca3b097e593e60e950df0f4d09d29a2ebeb6fb96a22,Physical 1-based order is canonical; execution_count is historical evidence only.
256,44,code,Stage18,canonical,STAGE 18.1K — GLOBAL NON-HOLDOUT TEMPORAL MAPPING AUDIT | Scan ALL 10 original timestamped IDS2018 CSVs using the | empirically recovered frozen Stage-15 hash-set rule: | original 78 predictors,/kaggle/input/datasets/solarmainframe/; /kaggle/input/datasets/; ids2018-balanced-binary-dataset/; one authentic source-file/timestamp bin.,,,1,2754,5bcad1577738537e4813711f10b1a25c3d393d7481b57e24d46d99d0b6229233,Physical 1-based order is canonical; execution_count is historical evidence only.
257,45,code,Stage18,canonical,STAGE 18.1L — TRAIN ↔ VALIDATION TEMPORAL LEAKAGE AUDIT | Determine whether the existing Stage-15 duplicate-safe | TRAIN / VALIDATION partition can safely support temporal | sequence/window modeling.,,,,1,2046,d1c1004fc8f68565cf2fde86dcd4c1d99017a012cba45c333db5c95fb76a981b,Physical 1-based order is canonical; execution_count is historical evidence only.
258,46,code,Stage18,packaging,STAGE 18.1 FINAL — TEMPORAL / MTEMPORAL FEASIBILITY | SCIENTIFIC CLOSURE + GIT ANCHOR + PUSH | FINAL DECISION | Temporal / MTemporal representation:,These audits were intentionally metadata/source-code; unambiguous source-file/timestamp provenance.,\n; Sanitized push output:\n,results/stage15_transformer_checkpoint/; metadata/source-code,2,2629,cdc42ca927e90e9271dda892d75c9f165270b79981132453ee2f8bf1dace46fe,Physical 1-based order is canonical; execution_count is historical evidence only.
259,47,code,Stage18,repair,CELL 50B — STAGE 18.1 PUSH REPAIR ONLY | IMPORTANT: | Stage 18.1 is already committed locally: | 9ec13a4c7207926b8e893179129c41c19339092d,,\nNo GitHub write credential was found.\n\n,,2,720,8e18124ae413dcb288343bff205863c749899e36b145fb77732f2b12abd60602,Physical 1-based order is canonical; execution_count is historical evidence only.
260,48,code,Stage18,canonical,CELL 50C — TOKEN-BASED PUSH OF EXISTING STAGE 18.1 COMMIT | Existing frozen commit: | 9ec13a4c7207926b8e893179129c41c19339092d | This cell:,,,,3,554,a7e880667a845635ba37b52de7a0a856db9f68337fde6c991a1bf7a5f0c2c291,Physical 1-based order is canonical; execution_count is historical evidence only.
261,1,code,Stage18,recovery,STAGE 18.2 BOOTSTRAP — FRESH KAGGLE ENVIRONMENT RESTORE | Reconstruct the exact frozen research state after a fresh | Kaggle notebook/session before beginning the ViT feasibility | audit.,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; /kaggle/input/; \nKaggle inputs; STAGE 18.2A — ViT / genuine-2D representation source audit.,,,1,1122,d9bf3732e0e4fdc9af297cafaf69ea5b9e6929ca156fcaf26c464e9c263ded3f,Physical 1-based order is canonical; execution_count is historical evidence only.
262,3,code,Stage18,repair,CELL 52R — STAGE 18.2A ENCODING REPAIR + RESUME | The original Stage 18.2A successfully completed: | - mounted-source inventory | - raw schema audit,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; stage18_2a_source_file_inventory.csv; stage18_2a_source_audit_result.json; \nNo ViT input construction is authorized yet.,\n; source/destination IP identifiers.,,1,1363,f2fa3f475d2688ef7517a65d88680b8ce04ab829cf2e48983dc9aacda3eda1e6,Physical 1-based order is canonical; execution_count is historical evidence only.
263,6,code,Stage18,repair,STAGE 18.2B — ViT SEMANTIC LOCALITY / ORDERING AUDIT | Determine whether any remaining 2D candidate from Stage | 18.2A satisfies the Stage-18 scientific requirements for | a defensible Vision Transformer representation.,stage18_2a_source_audit_result.json; only 1/10 source files. This structure is more,\n; The 02-20 source retains source/destination endpoint,,1,1867,cd61b9287feb0fc39fe553a2d8c0b912d85226da7608cd7789b35c3be3f59b4c,Physical 1-based order is canonical; execution_count is historical evidence only.
264,7,code,Stage18,packaging,STAGE 18.2 FINAL — ViT FEASIBILITY FREEZE + GIT ANCHOR | FINAL DECISION: | Vision Transformer: | NOT_SUPPORTED_BY_CURRENT_ARTIFACTS,stage18_2a_source_audit_result.json,\n,,2,1645,e0b06e55d5c052a328f71ff922cd4fcc426cd35e3803ba5b14b71d3b33f1ace2,Physical 1-based order is canonical; execution_count is historical evidence only.
265,8,code,Stage18,repair,CELL 54R — STAGE 18.2 COMMIT / PUSH REPAIR | Cell 54 already: | - verified Stage 18.2 evidence | - created the frozen package,,,,3,703,b9c929894a4f5a65562c20cb3e7d1beebdf8f3945441829c814b1109c8c55ba2,Physical 1-based order is canonical; execution_count is historical evidence only.
266,9,code,Stage18,canonical,STAGE 18.3A — GRAPH / GRAPH TRANSFORMER REPRESENTATION | SOURCE + SEMANTIC FEASIBILITY AUDIT | Determine whether the currently mounted IDS2018 artifacts | contain authentic relational structure that could support,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv; /kaggle/input/datasets/; ids2018-balanced-binary-dataset/; stage18_3a_graph_source_schema.csv; stage18_3a_graph_source_audit_result.json; STAGE 18.3A — GRAPH / GRAPH TRANSFORMER SOURCE AUDIT,\n; 02-20 retains authentic source/destination endpoint; source/destination endpoint identity,,1,1972,03feaa0d8798d58df2f052b2c6084821b09535967f72c805f5c739498be54a30,Physical 1-based order is canonical; execution_count is historical evidence only.
267,10,code,Stage18,recovery,STAGE 18.3B — 02-20 GRAPH TOPOLOGY + | SHARED-NODE / SHARED-EDGE LEAKAGE FEASIBILITY AUDIT | Audit the endpoint-rich 02-20-2018 source for: | A. authentic graph topology,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; stage18_3a_graph_source_schema.csv; stage18_3a_graph_source_audit_result.json; Whole-source unique edge/five-tuple counts use,\n,,1,3514,89ab76dded71725f0d4d6eb094abf4a0c52b277db72d7f1d4516a10ed39e01a6,Physical 1-based order is canonical; execution_count is historical evidence only.
268,11,code,Stage18,packaging,STAGE 18.3C — GRAPH TRANSFORMER DEVELOPMENT PROTOCOL LOCK | + GIT ANCHOR | SCIENTIFIC DECISION | Graph / Graph Transformer:,stage18_3a_graph_source_schema.csv; stage18_3a_graph_source_audit_result.json,\n,,3,2214,a9a4dbfd7ad9048cbfbd544825c7162796de1712a7c1f559065ec1f18d5678f9,Physical 1-based order is canonical; execution_count is historical evidence only.
269,12,code,Stage18,canonical,STAGE 18.3D — FROZEN GRAPH PARTITION MATERIALIZATION | + PROTOCOL-CONFORMANCE AUDIT | FROZEN PROTOCOL | Source:,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/,\n,,1,3462,e4ae642ca2390a18c7e4b135bb3e9f4df302d05d1f4671e702906639bd818fff,Physical 1-based order is canonical; execution_count is historical evidence only.
270,13,code,Stage18,canonical,STAGE 18.3E — FREEZE STAGE 18.3D + | LOCK GRAPH TRANSFORMER MODEL / TRAINING PROTOCOL | UPSTREAM RESULT | Graph feasibility:,LOCKED / REQUIRED,\n,,3,2699,b70003be881a62a4e027d7a9ad4eb281ed851d22a02c801b96ec2e01c468cd4b,Physical 1-based order is canonical; execution_count is historical evidence only.
271,14,code,Stage18,canonical,STAGE 18.3F — TRAIN-ONLY PREPROCESSING + | DETERMINISTIC TRAIN / VALIDATION GRAPH TENSORS | FROZEN MODEL PROTOCOL: | commit:,/kaggle/input/datasets/,\n,,1,4676,19905795b535c0b0ef92ed87f373739c13a0a9ebc7196c9a76d646c5838b444c,Physical 1-based order is canonical; execution_count is historical evidence only.
272,15,code,Stage18,packaging,STAGE 18.3G — FREEZE STAGE 18.3F COMPACT EVIDENCE | + GIT ANCHOR | Freeze reproducibility identities for Stage 18.3F BEFORE | any Graph Transformer / MLP fitting.,,\n,,3,1752,bd37c97362a5ed35942063047d6dfc5f9bfb7fc8d21373e73753ca3005243243,Physical 1-based order is canonical; execution_count is historical evidence only.
273,3,code,Stage18,canonical,STAGE 18.3H — LOCKED EDGE-ONLY MLP CONTROL | THREE-SEED TRAINING + VALIDATION SELECTION | FROZEN GIT HEAD: | 534a1430bf504fa139e83cbadc7b614f1f5ccc74,\nFrozen input identity verification,\n,,1,3159,588aa639e94c2761a28444aa09d068c5b49cf06eebb39d5d1489c88a0999f016,Physical 1-based order is canonical; execution_count is historical evidence only.
274,17,code,Stage18,canonical,CELL 62R — CUDA / PYTORCH COMPATIBILITY DIAGNOSIS | No training. | No validation inference. | No repository changes.,,,,1,214,d787aee737ee801f8685f627878f1aee8d43e0d34ef2fe3a75d0be665d21a80a,Physical 1-based order is canonical; execution_count is historical evidence only.
275,18,code,Stage18,repair,CELL 62S — PYTORCH CUDA 12.6 IN-PLACE ENVIRONMENT REPAIR | SCIENTIFIC STATE: | UNCHANGED | CURRENT PROBLEM:,https://download.pytorch.org/whl/cu126,\n,,1,640,3755a387b8bc768f29cf8f71a932801ee982aadf33b2503b17b6c1a94d622591,Physical 1-based order is canonical; execution_count is historical evidence only.
276,2,code,Stage18,recovery,CELL 62T — POST-RESTART CUDA + FROZEN STATE VERIFICATION | NO training | NO validation inference | NO holdout access,,origin/main,,1,330,32e6665389e8fce04d3dc16ad1b75b53029c3f67f2119a5caa34f70ddfc22f28,Physical 1-based order is canonical; execution_count is historical evidence only.
277,20,code,Stage18,recovery,CELL 62U — POST-RESTART PYTORCH PACKAGE DIAGNOSIS | NO installs | NO training | NO validation inference,,,,1,94,fd43938842310db689b15a884d7f015a7b38803712e53c6ac6a7295de2cc1f4e,Physical 1-based order is canonical; execution_count is historical evidence only.
278,21,code,Stage18,canonical,CELL 62V — FRESH PYTHON PROCESS CUDA VERIFICATION | PURPOSE: | Determine what a NEW Python interpreter imports. | NO:,,,,1,165,4b1de72380e7863cc0e3e0a0df9345ea99581f7ecfadbd0406d590a78072a536,Physical 1-based order is canonical; execution_count is historical evidence only.
